Date,Chain,Postcode,Category,Total Units,Sale Price,Cost Price
1/1/16,Ready Wear,2015,Home,42,7.72,8.94
1/1/16,Ready Wear,2015,Juniors,43,1.67,2.86
1/1/16,Bellings,4305,Juniors,28,4.83,6.64
1/1/16,Ready Wear,3148,Mens,35,7.26,8.66
1/1/16,Ready Wear,2795,Womens,55,2.64,3.52
1/1/16,Ready Wear,2830,Juniors,22,8.33,10.51
1/1/16,Ready Wear,2830,Womens,3,-6.66,8.83
1/1/16,Bellings,2539,Womens,55,1.73,2.57
1/1/16,Ready Wear,2031,Womens,9,9.44,14.5
1/1/16,Ready Wear,2015,Juniors,31,8.84,10.3
1/1/16,Ready Wear,800,Mens,196,8.73,3.79
1/1/16,Ready Wear,2795,Juniors,23,7.94,9.87
1/1/16,Ready Wear,4509,Womens,18,9.22,11.64
1/1/16,Ready Wear,4068,Womens,34,13.91,15.19
1/1/16,Ready Wear,800,Mens,545,7.55,4.3
1/1/16,Bellings,3136,Shoes,10,9,13.16
1/1/16,Bellings,3136,Accessories,40,4.32,5.36
1/1/16,Ready Wear,800,Kids,1,4,4.5
1/1/16,Bellings,4700,Juniors,9,9.11,13.67
1/1/16,Ready Wear,6280,Juniors,11,6.03,9.68
1/1/16,Ready Wear,4068,Juniors,15,7.93,10.57
1/1/16,Ready Wear,3353,Womens,21,8.38,10.25
1/1/16,Ready Wear,4509,Juniors,44,5.07,5.95
1/1/16,Ready Wear,2350,Womens,98,1.85,2.24
1/1/16,Bellings,5082,Womens,48,2.42,3.2
1/1/16,Ready Wear,2116,Womens,16,5.33,7.64
1/1/16,Ready Wear,2560,Mens,18,2,4
1/1/16,Ready Wear,4551,Womens,20,3.65,5.43
1/1/16,Ready Wear,2020,Womens,60,1.3,1.89
1/1/16,Ready Wear,2350,Juniors,32,9.31,10.41
1/1/16,Ready Wear,800,Kids,1,2,1.25
1/1/16,Ready Wear,4068,Hosiery,70,0.5,1
1/1/16,Bellings,5168,Juniors,45,5.58,6.35
1/1/16,Bellings,6010,Mens,1,-19.98,14
1/1/16,Ready Wear,3076,Womens,54,1.22,1.85
1/1/16,Ready Wear,4558,Kids,103,2.51,2.84
1/1/16,Ready Wear,2020,Juniors,24,8.91,10.3
1/1/16,Ready Wear,2031,Juniors,19,8.73,10.47
1/1/16,Ready Wear,2560,Womens,23,5.22,6.66
1/1/16,Ready Wear,4215,Juniors,1,-22.97,10
1/1/16,Bellings,4570,Accessories,63,4.88,5.4
1/1/16,Ready Wear,800,Kids,1,7.99,4.5
1/1/16,Ready Wear,2650,Womens,153,2.71,2.92
1/1/16,Ready Wear,3551,Juniors,24,9.04,10.34
1/1/16,Ready Wear,800,Kids,3,6.66,3.16
1/1/16,Ready Wear,2541,Juniors,27,9.06,10.16
1/1/16,Ready Wear,2116,Groceries,1674,1,1.02
1/1/16,Ready Wear,3148,Juniors,15,8.26,10.21
1/1/16,Ready Wear,2116,Kids,44,1.93,2.59
1/1/16,Ready Wear,6280,Kids,17,2.59,4.26
1/1/16,Ready Wear,4551,Kids,79,2.54,2.9
1/1/16,Ready Wear,2800,Juniors,10,5.5,8.3
1/1/16,Ready Wear,800,Kids,6,7.5,3.21
1/1/16,Ready Wear,800,Kids,16,3.99,1.75
1/1/16,Bellings,2131,Juniors,38,5.81,6.54
1/1/16,Ready Wear,3148,Womens,26,7.96,9.02
1/1/16,Ready Wear,4551,Womens,5,5.41,10.9
1/1/16,Ready Wear,2617,Juniors,46,4.15,4.74
1/1/16,Ready Wear,4509,Juniors,25,9.08,10.14
1/1/16,Ready Wear,4119,Juniors,6,5.83,10.21
1/1/16,Ready Wear,2800,Shoes,48,9.01,9.54
1/1/16,Bellings,3500,Womens,36,2.16,2.86
1/1/16,Bellings,3280,Womens,8,10,13.13
1/1/16,Ready Wear,4558,Womens,1,5.01,30
1/1/16,Ready Wear,3148,Womens,6,6.84,11
1/1/16,Bellings,3690,Juniors,14,1.29,3.07
1/1/16,Ready Wear,6330,Juniors,11,7.36,9.59
1/1/16,Bellings,2750,Juniors,13,5,6.88
1/1/16,Ready Wear,4215,Womens,3,10.67,18.67
1/1/16,Bellings,7018,Mens,1,-9.99,14
1/1/16,Bellings,6030,Juniors,6,2.83,6.82
1/1/16,Bellings,4305,Accessories,73,3,3.32
1/1/16,Bellings,5043,Juniors,4,5.5,11.25
1/1/16,Ready Wear,4119,Womens,-1,42.97,20
1/1/16,Bellings,3690,Womens,40,2.15,2.71
1/1/16,Ready Wear,2650,Juniors,20,6.4,7.53
1/1/16,Bellings,4566,Home,109,1.11,1.32
1/1/16,Bellings,4870,Juniors,9,3.78,6.25
1/1/16,Ready Wear,3550,Kids,50,2.74,3.18
1/1/16,Ready Wear,3066,Juniors,10,8.3,10.5
1/1/16,Bellings,2158,Womens,-3,9.99,2.75
1/1/16,Bellings,5607,Womens,22,1.66,2.64
1/1/16,Ready Wear,800,Kids,312,4.23,3.5
1/1/16,Ready Wear,2031,Juniors,18,5.56,6.74
1/1/16,Ready Wear,2015,Womens,18,6.86,8
1/1/16,Bellings,2158,Juniors,12,5.67,7.38
1/1/16,Ready Wear,800,Kids,253,3.63,2.33
1/1/16,Ready Wear,2830,Womens,72,3.14,3.42
1/1/16,Ready Wear,800,Kids,271,5.94,3.31
1/1/16,Ready Wear,2116,Womens,2,20,30
1/1/16,Ready Wear,2020,Womens,22,4.68,5.59
1/1/16,Ready Wear,4053,Juniors,28,3.71,4.42
1/1/16,Ready Wear,800,Juniors,28,6.88,9.02
1/1/16,Ready Wear,2795,Womens,2,-4.49,5.25
1/1/16,Ready Wear,4215,Juniors,11,9,10.75
1/1/16,Ready Wear,4068,Accessories,81,15.94,16.18
1/1/16,Ready Wear,6330,Mens,2,11,20.5
1/1/16,Ready Wear,2116,Groceries,95,1.4,1.6
1/1/16,Ready Wear,4119,Juniors,7,1.29,3.96
1/1/16,Bellings,4566,Kids,19,4,4.98
1/1/16,Bellings,2790,Juniors,14,4.93,6.25
1/1/16,Ready Wear,2541,Home,16,11.62,12.75
1/1/16,Ready Wear,2830,Juniors,21,8.42,9.28
1/1/16,Ready Wear,2650,Womens,29,7.96,8.58
1/1/16,Bellings,3134,Juniors,8,8.5,10.75
1/1/16,Ready Wear,3076,Womens,4,4.25,8.75
1/1/16,Ready Wear,800,Juniors,4,5.25,5.75
1/1/16,Ready Wear,4551,Juniors,27,6.89,7.55
1/1/16,Ready Wear,800,Juniors,26,3.31,3.22
1/1/16,Ready Wear,800,Juniors,4,12.99,10.5
1/1/16,Bellings,7018,Juniors,7,3.79,6.32
1/1/16,Ready Wear,800,Juniors,36,7.38,3.94
1/1/16,Ready Wear,800,Juniors,39,16.43,9.43
1/1/16,Ready Wear,2116,Hosiery,35,0.5,1
1/1/16,Bellings,7250,Juniors,6,8.33,11.25
1/1/16,Ready Wear,2617,Accessories,9,8.08,10
1/1/16,Ready Wear,2350,Womens,93,2.51,2.7
1/1/16,Ready Wear,800,Juniors,380,7.04,5
1/1/16,Ready Wear,3066,Juniors,48,7.01,7.36
1/1/16,Bellings,4220,Womens,201,3.01,3.09
1/1/16,Ready Wear,4053,Womens,9,13.11,14.95
1/1/16,Ready Wear,4558,Womens,8,3.5,5.56
1/1/16,Bellings,2158,Womens,14,4.32,5.48
1/1/16,Ready Wear,4068,Juniors,9,6.7,8.5
1/1/16,Ready Wear,2031,Kids,20,3.7,4.5
1/1/16,Ready Wear,800,Shoes,43,8.76,6.59
1/1/16,Ready Wear,2560,Juniors,7,8.57,10.79
1/1/16,Ready Wear,6330,Womens,6,2.67,5.25
1/1/16,Ready Wear,3066,Juniors,38,3.05,3.46
1/1/16,Ready Wear,2067,Mens,7,2,4.14
1/1/16,Bellings,3630,Juniors,2,3,10.5
1/1/16,Ready Wear,3550,Womens,7,5.93,8.07
1/1/16,Bellings,3977,Juniors,16,4.94,5.86
1/1/16,Ready Wear,4215,Juniors,12,4.92,6.15
1/1/16,Ready Wear,2795,Womens,11,1,2.34
1/1/16,Ready Wear,800,Shoes,107,6.01,4.46
1/1/16,Bellings,4570,Juniors,-2,9.99,2.74
1/1/16,Ready Wear,800,Shoes,172,23.02,14.88
1/1/16,Ready Wear,800,Intimate,5,2.49,0.5
1/1/16,Ready Wear,2541,Juniors,42,6.42,6.76
1/1/16,Bellings,5290,Juniors,11,4.82,6.12
1/1/16,Bellings,4700,Juniors,5,3.4,6.25
1/1/16,Ready Wear,4558,Juniors,16,9,9.88
1/1/16,Bellings,6010,Juniors,5,7.94,10.75
1/1/16,Bellings,4740,Juniors,11,5,6.27
1/1/16,Ready Wear,4053,Womens,9,3,4.56
1/1/16,Ready Wear,3018,Kids,17,2.47,3.28
1/1/16,Ready Wear,3550,Mens,27,8.33,8.84
1/1/16,Bellings,6052,Juniors,7,7.28,9.21
1/1/16,Ready Wear,4215,Mens,4,5.5,8.84
1/1/16,Ready Wear,3148,Womens,13,1.77,2.79
1/1/16,Ready Wear,2015,Juniors,8,4.62,6.25
1/1/16,Ready Wear,800,Intimate,6,4.91,2.5
1/1/16,Ready Wear,800,Intimate,662,3.67,2.16
1/1/16,Ready Wear,800,Hosiery,75,3.29,1.65
1/1/16,Ready Wear,2480,Juniors,15,6,6.86
1/1/16,Bellings,6725,Juniors,-2,9.99,3.75
1/1/16,Ready Wear,2116,Juniors,13,8.15,9.1
1/1/16,Ready Wear,800,Hosiery,307,4.28,2.49
1/1/16,Ready Wear,6330,Womens,25,6.52,7
1/1/16,Ready Wear,800,Accessories,3,1,0.79
1/1/16,Ready Wear,800,Accessories,1,2.99,2
1/1/16,Ready Wear,2350,Womens,7,3.14,4.85
1/1/16,Ready Wear,6280,Juniors,2,0.95,6.9
1/1/16,Bellings,6112,Juniors,9,4.94,6.25
1/1/16,Ready Wear,6280,Womens,10,6.1,7.25
1/1/16,Bellings,7320,Juniors,8,5.75,7.19
1/1/16,Bellings,4570,Juniors,23,7.65,8.15
1/1/16,Ready Wear,2480,Hosiery,23,0.5,1
1/1/16,Bellings,6021,Juniors,11,9.09,10.09
1/1/16,Ready Wear,2541,Womens,3,6.33,10
1/1/16,Ready Wear,2541,Juniors,4,2.5,5.25
1/1/16,Ready Wear,3353,Juniors,3,6.67,10.34
1/1/16,Bellings,6027,Womens,2,9.5,15
1/1/16,Ready Wear,6280,Womens,8,17.75,19.12
1/1/16,Ready Wear,2031,Juniors,32,7.36,7.7
1/1/16,Ready Wear,2560,Intimate,6,1.99,3.8
1/1/16,Bellings,3179,Accessories,45,2.26,2.5
1/1/16,Ready Wear,2350,Juniors,17,3.1,3.73
1/1/16,Ready Wear,800,Accessories,4,1.75,0.5
1/1/16,Ready Wear,800,Accessories,42,4.51,3.14
1/1/16,Ready Wear,4215,Kids,14,2.86,3.62
1/1/16,Ready Wear,800,Accessories,239,5.72,5.06
1/1/16,Bellings,6725,Juniors,4,7.5,10.09
1/1/16,Ready Wear,800,Accessories,219,2.9,1.79
1/1/16,Bellings,2539,Juniors,23,5.65,6.1
1/1/16,Ready Wear,4068,Juniors,32,3.47,3.79
1/1/16,Ready Wear,3353,Juniors,23,3.08,3.53
1/1/16,Ready Wear,2650,Juniors,15,3.73,4.4
1/1/16,Bellings,870,Juniors,8,5.25,6.51
1/1/16,Bellings,2485,Juniors,6,6.33,8
1/1/16,Ready Wear,4053,Accessories,16,1.37,2
1/1/16,Bellings,6725,Juniors,6,6.67,8.34
1/1/16,Bellings,7250,Womens,4,7.5,10
1/1/16,Ready Wear,800,Home,51,4.45,4.29
1/1/16,Bellings,5343,Womens,10,1.8,2.8
1/1/16,Ready Wear,3551,Mens,-1,14.99,5
1/1/16,Ready Wear,800,Home,2,12.49,6
1/1/16,Ready Wear,800,Home,373,3.22,2.64
1/1/16,Bellings,3030,Home,81,1.23,1.35
1/1/16,Bellings,2120,Juniors,5,4.59,6.5
1/1/16,Bellings,4680,Womens,1,8.02,17.5
1/1/16,Ready Wear,3076,Intimate,18,2.98,3.5
1/1/16,Bellings,2131,Accessories,105,4.44,4.53
1/1/16,Bellings,3429,Kids,19,3.47,3.95
1/1/16,Bellings,3630,Juniors,17,5.41,5.94
1/1/16,Bellings,870,Juniors,4,8.5,10.75
1/1/16,Ready Wear,800,Home,1136,1.91,1.42
1/1/16,Bellings,3280,Juniors,3,7,10
1/1/16,Ready Wear,6280,Womens,5,8.2,10
1/1/16,Ready Wear,800,Home,937,3.64,2.73
1/1/16,Ready Wear,2795,Intimate,27,1.33,1.66
1/1/16,Ready Wear,800,Groceries,4,0.49,1.86
1/1/16,Ready Wear,3076,Juniors,15,6.93,7.5
1/1/16,Bellings,5082,Womens,4,11.25,13.38
1/1/16,Ready Wear,4215,Kids,-1,19.99,11.5
1/1/16,Ready Wear,800,Groceries,224,1.63,1.25
1/1/16,Ready Wear,800,Groceries,513,1.45,1.12
1/1/16,Bellings,3630,Womens,46,4.37,4.55
1/1/16,Bellings,3630,Accessories,73,6.84,6.95
1/1/16,Ready Wear,4509,Juniors,7,5.29,6.47
1/1/16,Ready Wear,2350,Womens,9,18.89,19.81
1/1/16,Ready Wear,800,Groceries,986,1.07,0.82
1/1/16,Ready Wear,4068,Groceries,317,0.61,0.64
1/1/16,Ready Wear,2067,Juniors,2,6,10
1/1/16,Ready Wear,2617,Womens,4,3,5
1/1/16,Ready Wear,3148,Womens,2,3.26,7.26
1/1/16,Bellings,6450,Juniors,1,-2.99,5
1/1/16,Bellings,3500,Accessories,84,3.61,3.71
1/1/16,Bellings,2750,Groceries,27,1.18,1.46
1/1/16,Ready Wear,2350,Juniors,4,5.5,7.38
1/1/16,Bellings,2478,Juniors,1,3,10.5
1/1/16,Ready Wear,2650,Accessories,1,7,14.5
1/1/16,Bellings,2750,Juniors,1,3,10.5
1/1/16,Ready Wear,2800,Kids,3,2,4.5
1/1/16,Bellings,4802,Juniors,1,3,10.5
1/1/16,Bellings,6021,Womens,3,4.33,6.83
1/1/16,Bellings,5043,Womens,20,2.26,2.63
1/1/16,Bellings,3134,Groceries,19,2.87,3.26
1/1/16,Bellings,2141,Juniors,15,5.9,6.38
1/1/16,Bellings,4740,Kids,19,2.95,3.33
1/1/16,Bellings,4220,Home,26,1.15,1.43
1/1/16,Bellings,4703,Womens,3,10,12.33
1/1/16,Bellings,2478,Juniors,15,8.68,9.14
1/1/16,Bellings,4680,Juniors,5,5,6.35
1/1/16,Bellings,5290,Home,11,1,1.6
1/1/16,Ready Wear,2617,Juniors,1,1,7.5
1/1/16,Bellings,6112,Juniors,2,1,4.25
1/1/16,Bellings,2131,Juniors,22,4.99,5.28
1/1/16,Ready Wear,2617,Accessories,159,3.72,3.76
1/1/16,Bellings,6021,Juniors,5,3.3,4.55
1/1/16,Ready Wear,2020,Womens,-1,9.99,3.75
1/1/16,Ready Wear,2067,Womens,11,4.27,4.82
1/1/16,Ready Wear,2020,Mens,4,11.5,13
1/1/16,Bellings,2064,Juniors,2,7,10
1/1/16,Ready Wear,3018,Juniors,8,4.88,5.63
1/1/16,Ready Wear,4068,Juniors,1,1,7
1/1/16,Bellings,4220,Juniors,5,5,6.2
1/1/16,Bellings,4566,Juniors,2,10,13
1/1/16,Bellings,4740,Juniors,9,6.11,6.78
1/1/16,Bellings,5343,Juniors,3,5.33,7.33
1/1/16,Bellings,6021,Womens,1,1,7
1/1/16,Ready Wear,2067,Juniors,1,-2.99,3
1/1/16,Bellings,5607,Juniors,2,4.51,7.51
1/1/16,Bellings,6021,Juniors,1,3,8.9
1/1/16,Bellings,4700,Juniors,9,6.21,6.86
1/1/16,Bellings,2478,Juniors,5,8.6,9.75
1/1/16,Bellings,7250,Kids,4,4,5.4
1/1/16,Ready Wear,2650,Womens,8,8.38,9.08
1/1/16,Bellings,4012,Womens,2,3,5.75
1/1/16,Ready Wear,4053,Kids,3,2.67,4.5
1/1/16,Bellings,2141,Juniors,3,9,10.75
1/1/16,Ready Wear,2541,Juniors,7,2.14,2.89
1/1/16,Bellings,4305,Groceries,17,3.03,3.34
1/1/16,Ready Wear,4119,Home,6,2.5,3.36
1/1/16,Bellings,5082,Kids,3,3,4.68
1/1/16,Bellings,6010,Womens,7,14.28,15
1/1/16,Bellings,870,Womens,3,13.33,15
1/1/16,Ready Wear,4053,Juniors,24,3.33,3.54
1/1/16,Ready Wear,2795,Juniors,2,7.5,10
1/1/16,Bellings,3429,Womens,1,5,10
1/1/16,Bellings,3500,Womens,3,8.33,10
1/1/16,Ready Wear,3551,Juniors,2,7.5,10
1/1/16,Bellings,6450,Womens,1,10,15
1/1/16,Bellings,7018,Womens,1,5,10
1/1/16,Ready Wear,4068,Accessories,-1,5.99,1
1/1/16,Ready Wear,2067,Kids,18,0.98,1.25
1/1/16,Ready Wear,4119,Groceries,4,0.67,1.87
1/1/16,Ready Wear,2650,Juniors,27,8.4,8.58
1/1/16,Ready Wear,6330,Kids,19,2.53,2.78
1/1/16,Ready Wear,4509,Womens,13,7.18,7.54
1/1/16,Bellings,4655,Juniors,12,9.66,10.04
1/1/16,Bellings,3429,Juniors,1,1,5.5
1/1/16,Ready Wear,2830,Kids,35,3.67,3.8
1/1/16,Bellings,6027,Juniors,16,5.56,5.83
1/1/16,Bellings,3280,Juniors,8,5.74,6.28
1/1/16,Bellings,2064,Juniors,13,5.77,6.1
1/1/16,Bellings,2485,Home,5,1.4,2.25
1/1/16,Ready Wear,2617,Juniors,1,1.82,6
1/1/16,Bellings,5082,Juniors,6,7.66,8.33
1/1/16,Ready Wear,2560,Womens,11,3.18,3.54
1/1/16,Ready Wear,2800,Womens,2,3,5
1/1/16,Bellings,3429,Juniors,5,3.8,4.6
1/1/16,Ready Wear,4215,Home,7,2,2.57
1/1/16,Ready Wear,4509,Mens,1,1,5
1/1/16,Ready Wear,4558,Womens,1,1,5
1/1/16,Bellings,4655,Womens,4,3,4
1/1/16,Bellings,3690,Juniors,-1,7.99,4
1/1/16,Ready Wear,4119,Juniors,-1,7.99,4
1/1/16,Bellings,3131,Groceries,9,4.22,4.64
1/1/16,Bellings,2141,Juniors,1,5,8.75
1/1/16,Bellings,4012,Shoes,16,8.29,8.52
1/1/16,Bellings,4680,Womens,3,3,4.2
1/1/16,Bellings,7018,Groceries,3,0.17,1.37
1/1/16,Bellings,6021,Womens,6,11.16,11.75
1/1/16,Ready Wear,2650,Juniors,5,10,10.7
1/1/16,Ready Wear,2541,Womens,7,8.86,9.36
1/1/16,Bellings,3134,Juniors,1,3,6.5
1/1/16,Ready Wear,3353,Juniors,1,7,10.5
1/1/16,Bellings,6052,Home,5,1.1,1.8
1/1/16,Bellings,5082,Groceries,16,2.5,2.71
1/1/16,Ready Wear,3551,Juniors,14,6.28,6.52
1/1/16,Ready Wear,3353,Womens,12,8.25,8.5
1/1/16,Bellings,6450,Groceries,17,0.95,1.13
1/1/16,Ready Wear,2015,Womens,8,8.12,8.5
1/1/16,Bellings,5343,Juniors,2,8,9.51
1/1/16,Ready Wear,2560,Juniors,1,7,10
1/1/16,Ready Wear,3076,Juniors,1,7,10
1/1/16,Ready Wear,3148,Juniors,1,7,10
1/1/16,Bellings,3931,Womens,3,9.67,10.67
1/1/16,Bellings,4566,Womens,1,1,4
1/1/16,Bellings,5169,Womens,1,3,6
1/1/16,Bellings,5168,Groceries,11,2.19,2.45
1/1/16,Ready Wear,2800,Kids,1,2,4.86
1/1/16,Bellings,5290,Womens,16,1.81,1.98
1/1/16,Bellings,6109,Juniors,15,6.07,6.25
1/1/16,Bellings,6010,Womens,1,3,5.75
1/1/16,Ready Wear,3353,Womens,1,0.01,2.75
1/1/16,Bellings,5043,Groceries,9,4.78,5.08
1/1/16,Bellings,3931,Accessories,50,5.53,5.58
1/1/16,Bellings,3977,Groceries,14,1.27,1.45
1/1/16,Ready Wear,2020,Juniors,17,7.29,7.44
1/1/16,Ready Wear,2116,Womens,3,7.67,8.5
1/1/16,Ready Wear,2800,Womens,1,3,5.5
1/1/16,Ready Wear,4509,Womens,7,3,3.36
1/1/16,Bellings,4802,Groceries,22,2.9,3.01
1/1/16,Bellings,4012,Kids,10,4.2,4.44
1/1/16,Ready Wear,4558,Womens,7,6.71,7.05
1/1/16,Bellings,2750,Juniors,7,10.42,10.75
1/1/16,Bellings,2609,Groceries,32,1.83,1.9
1/1/16,Bellings,3630,Kids,1,1,3.25
1/1/16,Bellings,3690,Kids,1,1,3.25
1/1/16,Bellings,4740,Womens,2,7.5,8.63
1/1/16,Ready Wear,3076,Mens,8,1,1.28
1/1/16,Bellings,3131,Kids,2,1,2.11
1/1/16,Bellings,5043,Juniors,5,10,10.42
1/1/16,Bellings,4305,Juniors,4,8.5,9
1/1/16,Ready Wear,2031,Juniors,3,9.33,10
1/1/16,Bellings,2120,Juniors,2,6,7
1/1/16,Ready Wear,2480,Mens,1,3,5
1/1/16,Bellings,2750,Womens,1,7,9
1/1/16,Ready Wear,3018,Intimate,2,1,2
1/1/16,Bellings,3030,Womens,1,3,5
1/1/16,Ready Wear,4068,Kids,1,5,7
1/1/16,Ready Wear,4215,Intimate,4,3,3.5
1/1/16,Bellings,4570,Womens,1,5,7
1/1/16,Bellings,4802,Womens,1,7,9
1/1/16,Ready Wear,6330,Juniors,1,3,5
1/1/16,Bellings,2750,Kids,2,3.51,4.51
1/1/16,Bellings,4870,Shoes,13,6.69,6.82
1/1/16,Ready Wear,4053,Mens,1,1,2.74
1/1/16,Ready Wear,3076,Womens,8,10.28,10.5
1/1/16,Bellings,2485,Shoes,13,8.46,8.59
1/1/16,Ready Wear,3551,Juniors,9,5.55,5.74
1/1/16,Bellings,3931,Kids,2,1,1.8
1/1/16,Bellings,5343,Groceries,-1,3.99,2.4
1/1/16,Bellings,3630,Juniors,3,11,11.52
1/1/16,Bellings,6010,Juniors,6,12.5,12.76
1/1/16,Bellings,7320,Juniors,1,0.99,2.5
1/1/16,Bellings,3931,Juniors,2,10,10.76
1/1/16,Bellings,7010,Juniors,2,10,10.76
1/1/16,Bellings,2131,Home,2,1.5,2.25
1/1/16,Bellings,2539,Juniors,1,1,2.5
1/1/16,Bellings,3131,Juniors,-1,3,1.5
1/1/16,Ready Wear,4215,Kids,8,2.25,2.44
1/1/16,Bellings,6030,Womens,1,5,6.5
1/1/16,Bellings,7010,Juniors,3,5,5.5
1/1/16,Bellings,7250,Womens,1,5,6.5
1/1/16,Bellings,7320,Womens,5,6.2,6.5
1/1/16,Ready Wear,6280,Juniors,10,10.5,10.65
1/1/16,Bellings,3500,Kids,1,4,5.4
1/1/16,Bellings,4570,Kids,1,4,5.4
1/1/16,Bellings,2485,Womens,1,1,2.25
1/1/16,Bellings,7010,Juniors,1,3,4.25
1/1/16,Ready Wear,6330,Mens,-1,5.99,4.75
1/1/16,Ready Wear,2541,Mens,3,2.33,2.74
1/1/16,Bellings,3500,Groceries,10,2.05,2.17
1/1/16,Ready Wear,4551,Womens,4,8.75,9
1/1/16,Ready Wear,3148,Kids,5,2,2.2
1/1/16,Ready Wear,3148,Intimate,2,3,3.5
1/1/16,Ready Wear,3551,Shoes,1,1,2
1/1/16,Ready Wear,4119,Kids,2,4,4.5
1/1/16,Bellings,6030,Juniors,2,7.5,8
1/1/16,Bellings,6109,Juniors,9,9.92,10.03
1/1/16,Ready Wear,4053,Groceries,1,0.99,1.86
1/1/16,Bellings,2158,Kids,2,5,5.41
1/1/16,Bellings,5607,Accessories,25,5.7,5.73
1/1/16,Ready Wear,2067,Accessories,45,0.98,1
1/1/16,Ready Wear,4053,Accessories,1,0.25,1
1/1/16,Bellings,4700,Groceries,5,2.4,2.55
1/1/16,Bellings,870,Groceries,28,1.94,1.96
1/1/16,Bellings,6109,Groceries,12,1.77,1.82
1/1/16,Ready Wear,2116,Groceries,1,1.79,2.31
1/1/16,Bellings,4680,Juniors,2,12.5,12.76
1/1/16,Bellings,6112,Womens,14,2.93,2.97
1/1/16,Ready Wear,2795,Womens,1,1,1.5
1/1/16,Bellings,3500,Shoes,1,12,12.5
1/1/16,Bellings,4012,Kids,3,4.33,4.5
1/1/16,Bellings,7250,Shoes,1,12,12.5
1/1/16,Ready Wear,2020,Kids,3,2.2,2.34
1/1/16,Bellings,4740,Groceries,13,1.51,1.54
1/1/16,Ready Wear,2800,Juniors,10,3.4,3.43
1/1/16,Bellings,3134,Juniors,1,10,10.25
1/1/16,Ready Wear,3066,Accessories,-1,0.49,0.28
1/1/16,Ready Wear,2560,Accessories,32,0.99,1
1/1/16,Bellings,7250,Groceries,7,2.14,2.17
1/1/16,Bellings,3136,Hosiery,8,0.25,0.27
1/1/16,Bellings,2131,Groceries,38,2.2,2.2
1/1/16,Ready Wear,3551,Kids,57,2.17,2.17
1/1/16,Ready Wear,2617,Home,24,3,3
1/1/16,Ready Wear,4551,Hosiery,3,0.99,1
1/1/16,Ready Wear,3353,Juniors,17,7.82,7.82
1/1/16,Bellings,2131,Womens,50,3.13,3.13
